250 12000 4000
1 771 489 1351
2 31 24 65
3 847 23 1036
4 239 345 599
5 983 704 1868
6 919 180 1198
7 87 506 573
8 601 71 688
9 1099 645 1810
10 363 469 877
11 942 392 1565
12 354 452 831
13 537 637 1072
14 1066 394 1488
15 72 729 850
16 1057 301 1499
17 1011 291 1537
18 196 592 785
19 179 125 344
20 700 285 1147
21 95 788 930
22 585 651 1351
23 1163 101 1515
24 1189 753 1759
25 467 575 1021
26 641 6 591
27 577 589 1148
28 1013 62 1261
29 2 202 228
30 807 232 1244
31 151 76 205
32 247 240 451
33 709 775 1588
34 1178 759 1957
35 399 318 666
36 904 612 1631
37 685 440 1112
38 550 689 1342
39 244 209 450
40 509 264 875
41 217 736 1046
42 1088 393 1381
43 873 206 1225
44 692 690 1589
45 531 620 1143
46 1008 479 1780
47 2 618 616
48 255 606 875
49 672 673 1500
50 676 260 853
51 688 589 1203
52 286 396 652
53 888 423 1180
54 369 173 642
55 673 129 767
56 316 634 927
57 1042 725 1999
58 540 373 1087
59 392 415 912
60 172 606 913
61 676 62 773
62 330 632 990
63 185 342 506
64 708 711 1369
65 570 92 682
66 387 750 1118
67 919 764 1528
68 921 693 1570
69 645 379 957
70 46 325 348
71 81 761 786
72 509 630 1113
73 775 104 965
74 952 546 1726
75 859 369 1277
76 102 610 784
77 636 539 1089
78 230 26 265
79 698 82 747
80 208 250 470
81 475 162 657
82 940 268 1321
83 690 95 884
84 245 477 862
85 110 752 896
86 126 449 672
87 1059 59 1253
88 251 555 934
89 446 293 761
90 311 263 634
91 850 57 1000
92 1118 445 1844
93 755 190 945
94 1111 714 1750
95 948 738 1702
96 46 709 791
97 266 671 1050
98 609 149 842
99 960 648 1561
100 108 515 708
101 248 640 1037
102 149 200 352
103 326 555 887
104 929 584 1740
105 1199 85 1446
106 299 570 934
107 651 457 1047
108 894 495 1482
109 1022 738 1870
110 385 337 802
111 727 394 1054
112 330 600 1029
113 798 606 1613
114 502 288 874
115 321 619 882
116 425 134 583
117 1146 518 1964
118 135 320 541
119 137 42 180
120 633 508 1140
121 383 709 1294
122 408 82 472
123 838 691 1732
124 339 21 412
125 21 706 655
126 422 693 1151
127 913 11 941
128 1199 33 1356
129 637 778 1483
130 1149 548 1847
131 402 794 1102
132 471 327 878
133 316 190 589
134 405 50 451
135 586 637 1373
136 816 535 1501
137 935 543 1695
138 530 648 1199
139 306 748 1061
140 6 270 261
141 160 408 629
142 1003 509 1767
143 674 776 1662
144 615 752 1390
145 272 13 329
146 25 632 625
147 1044 169 1445
148 98 354 531
149 229 610 875
150 308 387 723
151 410 423 994
152 944 390 1204
153 77 238 370
154 874 720 1567
155 477 134 565
156 754 347 1112
157 1172 737 2231
158 976 113 1116
159 840 294 1034
160 381 212 678
161 43 467 486
162 1166 115 1245
163 997 267 1371
164 851 88 1029
165 619 206 857
166 165 635 808
167 822 777 1623
168 355 794 1188
169 457 638 1006
170 1060 67 1203
171 7 628 574
172 436 282 698
173 361 183 568
174 779 631 1522
175 738 71 893
176 797 540 1243
177 120 486 603
178 494 620 1120
179 1027 594 1748
180 999 39 1100
181 1125 28 1302
182 1197 768 2063
183 590 392 1162
184 678 193 785
185 49 600 620
186 34 536 642
187 286 169 536
188 645 297 939
189 871 724 1652
190 220 470 754
191 736 173 1014
192 17 246 272
193 637 723 1294
194 604 122 758
195 1023 562 1629
196 1080 207 1522
197 59 744 946
198 446 539 921
199 706 295 1089
200 851 170 1073
201 59 489 553
202 1161 293 1560
203 243 248 489
204 544 521 1276
205 115 277 454
206 809 213 1033
207 736 476 1446
208 261 690 951
209 560 259 908
210 715 148 794
211 232 509 710
212 593 174 753
213 180 652 901
214 491 145 648
215 847 231 1138
216 1108 708 1776
217 369 283 661
218 970 162 1339
219 82 52 127
220 18 119 146
221 1094 787 2140
222 771 124 1022
223 690 55 890
224 979 126 1133
225 1161 257 1603
226 95 785 921
227 363 615 995
228 686 611 1422
229 454 740 1432
230 38 170 246
231 1092 429 1746
232 310 703 1052
233 1063 345 1310
234 521 293 953
235 61 465 630
236 788 531 1313
237 917 747 1590
238 334 689 945
239 564 705 1253
240 998 298 1330
241 527 90 732
242 378 616 1074
243 856 66 1017
244 472 590 967
245 808 170 1032
246 1045 621 1834
247 690 508 1363
248 850 392 1214
249 838 398 1168
250 1081 38 1279

19038
