50 800 1500
1 73 54 115
2 21 45 65
3 80 62 139
4 18 142 151
5 65 39 108
6 48 248 276
7 23 291 353
8 57 194 249
9 1 116 121
10 63 14 85
11 50 142 197
12 38 170 242
13 48 251 290
14 7 216 257
15 22 166 211
16 63 218 286
17 66 21 99
18 46 166 210
19 23 33 60
20 73 95 186
21 28 146 170
22 8 146 170
23 11 253 308
24 41 155 189
25 67 124 188
26 43 34 79
27 55 37 86
28 52 150 233
29 76 88 190
30 27 1 31
31 31 104 145
32 14 153 198
33 61 266 320
34 62 140 225
35 25 198 222
36 46 193 281
37 25 251 306
38 8 266 281
39 41 255 285
40 23 84 125
41 7 126 150
42 14 8 1431
43 53 2 63
44 80 83 194
45 11 9 1129
46 5 227 257
47 34 183 219
48 28 21 57
49 26 28 54
50 68 108 209

5157
0.029039
