250 8000 8000
1 560 1264 1835
2 452 1543 2100
3 792 1355 2311
4 420 1334 1837
5 622 517 1297
6 144 336 445
7 652 953 1540
8 746 294 1099
9 82 411 519
10 53 608 609
11 733 536 1291
12 657 1118 1636
13 583 27 626
14 551 1523 2350
15 613 493 1077
16 471 664 1196
17 412 557 1005
18 430 90 526
19 147 342 484
20 223 185 393
21 603 5 552
22 282 628 1092
23 298 959 1258
24 127 364 481
25 548 814 1457
26 334 1518 1829
27 474 710 1419
28 272 574 798
29 270 1109 1647
30 360 509 985
31 317 1131 1466
32 400 187 617
33 255 1560 1875
34 302 1241 1579
35 661 1403 2356
36 571 7 575
37 41 912 994
38 447 1212 1773
39 645 573 1141
40 299 831 1082
41 424 1499 1885
42 56 411 424
43 13 350 427
44 653 593 1403
45 762 1326 2140
46 484 933 1440
47 779 346 1200
48 614 1497 2226
49 318 219 608
50 105 442 606
51 430 556 913
52 708 831 1572
53 337 607 1061
54 336 1070 1487
55 668 887 1496
56 425 398 778
57 613 1135 1994
58 308 702 923
59 711 756 1471
60 340 1237 1594
61 642 962 1548
62 654 274 920
63 396 734 1344
64 18 3 22
65 66 801 1020
66 736 53 742
67 653 987 1516
68 517 1279 1996
69 392 1582 2368
70 384 1361 1698
71 719 1581 2151
72 787 583 1276
73 385 626 1161
74 455 430 1044
75 279 666 1121
76 177 1354 1535
77 703 1580 2142
78 186 621 965
79 256 921 1113
80 368 776 1165
81 593 1238 2047
82 343 384 715
83 64 893 948
84 648 1512 1999
85 487 1336 1944
86 195 1389 1636
87 285 1253 1608
88 4 90 103
89 581 114 645
90 115 1283 1406
91 554 612 1185
92 238 1006 1159
93 677 1541 2484
94 505 475 984
95 742 1390 2105
96 379 1525 2245
97 499 1251 1870
98 145 339 575
99 279 708 1161
100 409 1495 1985
101 579 760 1349
102 652 903 1709
103 163 161 323
104 792 309 1153
105 374 184 550
106 60 210 295
107 304 933 1122
108 406 1153 1845
109 749 299 1153
110 160 324 482
111 765 769 1520
112 622 602 1252
113 653 1141 2116
114 17 548 593
115 161 355 552
116 611 301 1014
117 277 297 665
118 77 1512 1888
119 738 419 1287
120 73 328 480
121 252 1360 1745
122 323 1523 2203
123 761 175 1090
124 468 577 1128
125 654 1014 1954
126 448 911 1585
127 68 1011 1282
128 644 839 1578
129 712 1270 1821
130 378 171 589
131 588 1101 1918
132 465 1351 1912
133 178 1222 1599
134 250 1047 1457
135 377 1583 2298
136 275 898 1187
137 381 325 682
138 334 701 1170
139 530 1365 1908
140 404 1261 1727
141 350 643 1085
142 174 739 844
143 570 362 975
144 248 714 1055
145 106 785 971
146 14 607 672
147 200 1013 1341
148 493 517 990
149 371 970 1544
150 197 665 935
151 6 969 911
152 80 1106 1240
153 418 1506 1758
154 125 1096 1190
155 556 1580 1988
156 799 325 1078
157 725 1261 2199
158 92 806 1023
159 798 1030 2087
160 389 1330 1944
161 59 242 345
162 465 1525 2230
163 291 142 415
164 227 326 564
165 142 1520 1778
166 546 759 1206
167 744 241 891
168 411 742 1306
169 432 497 896
170 629 297 949
171 565 1284 1822
172 770 1031 1966
173 297 782 1190
174 605 1280 1820
175 591 492 1094
176 390 78 472
177 481 1154 1882
178 710 1575 2249
179 558 11 571
180 317 1129 1665
181 441 115 603
182 612 1591 2349
183 479 1069 1502
184 688 941 1652
185 527 1214 1639
186 696 1144 2038
187 764 499 1233
188 455 114 660
189 754 642 1431
190 612 1304 2181
191 139 767 1004
192 566 1581 2141
193 546 750 1410
194 592 1386 1960
195 597 672 1317
196 200 845 949
197 461 654 1178
198 349 865 1198
199 297 1279 1616
200 650 792 1578
201 134 211 334
202 682 1292 2095
203 49 1546 1625
204 730 1030 1900
205 422 994 1322
206 196 661 837
207 722 1440 2400
208 208 94 324
209 264 160 478
210 434 1141 1816
211 746 958 1911
212 205 1488 1858
213 799 572 1342
214 545 826 1444
215 197 41 286
216 739 660 1501
217 219 1340 1682
218 332 1021 1502
219 673 540 1226
220 260 385 728
221 541 1292 2047
222 752 413 1086
223 548 756 1491
224 239 177 391
225 343 771 1315
226 399 512 1069
227 250 1305 1605
228 183 851 1169
229 136 568 837
230 66 843 998
231 51 559 688
232 54 1104 1186
233 23 836 849
234 580 864 1494
235 253 1278 1658
236 466 611 1282
237 429 409 940
238 795 344 1220
239 350 669 1140
240 269 563 847
241 536 579 1327
242 169 66 264
243 373 37 458
244 499 1395 1728
245 766 1020 1744
246 788 731 1677
247 49 724 775
248 447 445 972
249 159 438 581
250 18 1421 1524

18699
