1000 23000 10000
1 151 137 1296
2 1350 583 1748
3 224 200 1423
4 866 27 985
5 612 95 752
6 2246 566 2908
7 714 1881 2522
8 1265 1068 2631
9 1156 1748 2983
10 1258 246 1453
11 983 481 1580
12 1647 383 2138
13 575 1752 2337
14 2122 312 2890
15 1516 1410 3380
16 1635 261 1771
17 1899 1422 3613
18 432 253 620
19 2142 1964 3898
20 1504 1454 3271
21 415 21 428
22 85 919 1157
23 2029 1825 3715
24 1386 204 1671
25 1272 559 1937
26 425 1541 2136
27 632 1617 2309
28 1650 1871 3477
29 889 493 1615
30 58 442 507
31 2066 541 2734
32 949 1801 2834
33 1110 752 1900
34 1796 53 2059
35 1661 1703 3076
36 32 347 365
37 341 296 664
38 1538 1785 3678
39 1866 1903 3742
40 1524 37 1848
41 269 1288 1536
42 1246 582 2134
43 1666 1110 2622
44 2239 1369 3380
45 438 879 1501
46 1296 1325 3038
47 2126 413 2903
48 2156 439 2962
49 930 1615 2816
50 1383 927 2479
51 1571 726 2081
52 770 1505 2115
53 2141 457 2801
54 309 1821 2416
55 1698 273 2341
56 437 15 1389
57 2265 414 2578
58 1522 968 2560
59 455 64 582
60 394 635 1066
61 534 638 1093
62 264 1809 2097
63 457 611 1232
64 3 414 440
65 2169 1755 4464
66 584 665 1222
67 1859 1099 2921
68 1991 880 2864
69 356 1959 2613
70 1318 1601 3386
71 439 1481 1945
72 1872 66 2095
73 727 1873 3022
74 500 987 1659
75 578 735 1377
76 280 1511 1721
77 471 1883 2320
78 307 358 787
79 1270 1101 2791
80 2179 814 3295
81 290 61 1000
82 507 1749 2141
83 1065 37 1030
84 1086 1272 2589
85 1336 1570 2857
86 570 1016 1657
87 1295 151 1524
88 770 439 1293
89 2071 145 2402
90 580 1775 2330
91 1300 1764 3475
92 608 1756 2775
93 2131 340 2550
94 1020 589 1782
95 457 37 1430
96 1129 1575 3050
97 2081 476 2638
98 840 1970 2916
99 882 836 1731
100 1523 1098 2756
101 1923 1210 2937
102 8 71 1368
103 1449 1593 2812
104 1122 629 1916
105 1497 399 2135
106 1579 1317 2638
107 436 1869 2187
108 2078 746 2971
109 1941 891 3063
110 1715 1733 3132
111 2230 1218 3579
112 406 122 1105
113 1491 1857 3775
114 1528 1808 3785
115 1013 1176 2167
116 694 1925 2592
117 2136 1952 4719
118 2292 823 3460
119 74 1969 2122
120 979 1148 2326
121 1958 650 2411
122 728 1516 2498
123 118 461 670
124 535 706 1472
125 49 495 640
126 1420 1870 3675
127 749 1165 1741
128 2005 1221 3083
129 1519 1810 3646
130 526 1056 1810
131 282 1890 2299
132 336 169 1195
133 1712 1715 3129
134 1086 913 2163
135 117 286 465
136 980 1661 3064
137 385 1762 2355
138 142 1124 1385
139 1626 1793 3636
140 710 1010 1976
141 1516 33 1434
142 1747 1769 3916
143 1959 1276 3637
144 1767 1898 4340
145 957 161 1116
146 674 1424 2425
147 1829 657 2258
148 140 166 312
149 73 35 103
150 1135 1564 2853
151 397 72 1229
152 906 678 1883
153 894 1287 2053
154 2224 1277 3830
155 192 202 362
156 151 1420 1824
157 1889 1232 3676
158 1157 740 2227
159 587 1905 2534
160 414 57 1227
161 613 1885 2877
162 1632 242 1717
163 1043 1541 2671
164 1842 333 2162
165 1557 832 2817
166 1026 1048 2378
167 293 1303 1649
168 259 65 1429
169 2122 90 2143
170 1051 728 1983
171 2265 1481 3889
172 1886 1776 4363
173 464 204 726
174 1829 785 2661
175 2010 1787 4331
176 1852 16 1995
177 2148 38 2527
178 1073 1686 2990
179 2199 991 3178
180 1698 701 2518
181 2151 411 2701
182 795 790 1774
183 1978 1940 3934
184 1690 1734 3284
185 715 954 1953
186 1893 1380 3329
187 776 733 1528
188 1731 604 2478
189 1421 1445 3430
190 491 751 1339
191 1522 507 2277
192 1744 17 1727
193 1769 829 3068
194 2120 1850 4645
195 685 301 1178
196 281 1990 2404
197 428 1458 1766
198 194 597 874
199 94 1158 1321
200 667 1179 1698
201 1643 279 1808
202 2265 1217 4120
203 2173 215 2251
204 63 146 1252
205 620 299 940
206 488 1103 1501
207 1633 31 1721
208 1910 379 2652
209 2300 848 3140
210 1849 912 2889
211 209 1921 2204
212 746 232 1137
213 438 743 1219
214 396 357 871
215 1308 1885 3387
216 1574 250 2025
217 2122 1313 3275
218 1131 143 1522
219 1121 565 1968
220 1221 193 1289
221 510 1263 2086
222 1983 223 2164
223 2238 1945 4749
224 1127 1807 2665
225 517 305 801
226 516 199 716
227 192 1914 2493
228 1365 1380 2787
229 1323 1722 3007
230 1152 1878 2826
231 1072 362 1584
232 448 1074 1666
233 218 1689 1805
234 1744 911 2797
235 1767 505 2621
236 2009 89 2147
237 386 448 948
238 284 577 1000
239 1813 984 3160
240 754 155 1025
241 381 256 629
242 1530 655 2049
243 309 729 1058
244 126 1465 1618
245 802 1161 1878
246 766 585 1325
247 290 1052 1247
248 1104 1699 3032
249 49 958 1047
250 198 655 925
251 1643 1442 3529
252 896 1659 2333
253 2128 1582 3480
254 723 244 1148
255 1987 1501 3672
256 1299 129 1358
257 1562 1675 3691
258 1113 376 1469
259 1116 428 1711
260 470 1671 2047
261 1480 518 2246
262 1291 1980 3813
263 747 195 1054
264 1878 1485 3278
265 1982 1984 4359
266 1479 130 1667
267 865 864 1860
268 1476 277 1913
269 1597 778 2713
270 1477 1993 3728
271 1803 694 2664
272 90 816 868
273 1690 388 1947
274 2108 771 2600
275 125 125 1035
276 384 1566 2212
277 1643 560 2127
278 1597 1025 2688
279 478 719 1106
280 255 1249 1431
281 933 1551 2274
282 518 469 1160
283 429 1412 1665
284 1299 937 2269
285 1808 530 2139
286 2140 1902 3769
287 21 917 1070
288 2236 1688 4126
289 1573 602 2354
290 1872 1935 3964
291 2141 52 2035
292 440 335 851
293 2165 1976 3774
294 1438 1224 3143
295 1835 1632 3713
296 901 1118 2105
297 734 1292 1873
298 2300 1194 3438
299 452 1805 2147
300 281 15 1232
301 921 184 1158
302 2026 437 2870
303 285 137 419
304 2195 1066 3389
305 353 173 1102
306 2110 812 2692
307 1455 1255 2677
308 1494 777 2390
309 765 1068 1871
310 1417 767 2265
311 1122 631 1784
312 1302 372 1842
313 306 1990 2600
314 1188 1439 2555
315 765 1451 2092
316 108 733 875
317 1384 235 1700
318 1895 1982 3639
319 1923 1475 3731
320 1613 421 2219
321 1248 446 1989
322 751 731 1615
323 219 1600 2061
324 1251 1308 2537
325 616 990 1745
326 1287 1928 3827
327 124 723 994
328 2093 676 2892
329 1180 509 1657
330 1598 1191 2830
331 2080 1838 3612
332 806 237 1214
333 1925 1564 3894
334 1625 999 2668
335 1680 1361 2757
336 1282 841 2105
337 1209 108 1471
338 1798 1867 3604
339 437 1998 2473
340 566 264 948
341 1169 813 2235
342 1650 130 1676
343 908 68 1042
344 759 1772 2805
345 572 1633 2525
346 1330 351 1952
347 766 839 1541
348 166 1750 2097
349 2125 362 2670
350 1978 338 2093
351 47 917 927
352 544 1798 2763
353 125 103 206
354 312 316 717
355 1502 49 1664
356 579 62 601
357 2131 457 2742
358 1096 1181 2382
359 62 1211 1462
360 1398 1326 2919
361 1151 995 2536
362 200 440 578
363 401 1476 2094
364 620 648 1413
365 1279 277 1534
366 533 1998 2606
367 1805 110 2154
368 1925 845 3147
369 1386 719 2336
370 863 254 1324
371 817 665 1723
372 1578 1501 3310
373 89 1459 1405
374 1960 202 2594
375 1955 1543 3452
376 332 1385 1880
377 131 1378 1759
378 41 1059 1277
379 819 855 1999
380 881 1924 2811
381 1267 1037 2728
382 918 1291 2264
383 544 524 1222
384 736 989 1818
385 1770 1700 3394
386 813 1009 1654
387 74 679 713
388 348 165 1058
389 1080 1738 3306
390 1695 536 2069
391 1469 840 2595
392 1093 1310 2453
393 182 414 697
394 100 1263 1461
395 1000 464 1449
396 1647 184 1666
397 818 1986 2751
398 146 985 1149
399 478 896 1503
400 1802 1782 4161
401 68 871 1118
402 133 294 489
403 1277 1002 2694
404 1072 1654 3119
405 1094 366 1637
406 903 1303 2143
407 78 798 934
408 2299 1148 3881
409 819 120 992
410 125 85 1015
411 422 77 1028
412 1064 1958 3586
413 1811 389 2033
414 708 1929 2695
415 366 809 1295
416 2165 1464 3941
417 1120 903 2274
418 1948 1900 3512
419 2087 1234 3477
420 74 121 1004
421 2165 495 2892
422 2206 1079 3048
423 1297 1657 2723
424 1720 563 2620
425 1843 126 1887
426 2125 1979 4778
427 827 848 1695
428 2132 318 2743
429 1242 821 2440
430 1320 1818 3271
431 984 231 1336
432 427 187 1359
433 1987 1157 3506
434 1032 307 1366
435 1639 287 2007
436 158 965 1166
437 284 430 820
438 1607 1753 3352
439 1431 346 1905
440 871 1299 2514
441 1605 1986 4184
442 570 1147 1716
443 1586 984 2948
444 693 1790 2870
445 991 546 1560
446 2174 1036 3047
447 2229 1514 4146
448 1343 1160 2555
449 608 1071 1966
450 511 1308 2127
451 1625 994 2756
452 301 1602 1923
453 920 90 1004
454 1727 1131 2867
455 530 1408 1889
456 388 1020 1369
457 1069 563 1927
458 446 76 1072
459 1435 1605 3623
460 2049 984 3354
461 2087 909 2963
462 850 47 835
463 276 627 857
464 293 1734 1848
465 1511 1239 2763
466 356 1381 1941
467 585 1034 1553
468 546 600 1333
469 63 547 705
470 301 1871 2036
471 1232 235 1652
472 55 239 332
473 887 1874 2986
474 1177 1167 2699
475 1371 120 1766
476 203 59 1438
477 76 1172 1352
478 409 468 914
479 1353 1921 3150
480 546 782 1539
481 904 1100 2389
482 227 320 653
483 1376 1703 3446
484 1465 1144 2511
485 2048 185 2038
486 2248 1013 3765
487 720 604 1485
488 509 1387 1915
489 1427 317 1623
490 385 1906 2746
491 1508 16 1423
492 1375 887 2309
493 20 1913 2008
494 162 762 965
495 2204 596 3344
496 1729 1390 2887
497 1612 1246 3159
498 97 1069 1163
499 1968 986 2686
500 1046 33 1086
501 563 77 691
502 707 1979 2447
503 359 74 1135
504 965 208 1182
505 1070 1142 2183
506 256 263 550
507 1112 1933 2936
508 1058 1965 2930
509 2067 1628 4097
510 273 1777 2410
511 1589 1772 3410
512 2050 1032 2956
513 2142 1886 4747
514 1925 490 2252
515 1188 1409 2844
516 430 1683 1988
517 1648 142 1749
518 1163 1811 3369
519 552 1757 2251
520 1491 366 1906
521 399 84 1458
522 1741 525 2381
523 298 591 843
524 654 732 1331
525 911 427 1426
526 651 1513 2240
527 853 650 1502
528 1137 27 1080
529 1854 74 2091
530 515 1225 1584
531 2173 654 3104
532 1636 430 1887
533 156 684 848
534 1354 1164 2602
535 1282 477 1747
536 707 1142 1760
537 1122 224 1513
538 936 1525 2551
539 63 1399 1669
540 13 948 1047
541 166 808 1033
542 2027 819 3152
543 1623 349 2358
544 1799 615 2839
545 1556 1556 3069
546 695 137 761
547 881 320 1391
548 1204 691 1991
549 990 1623 2526
550 1599 1846 3632
551 2144 610 3295
552 2146 663 2718
553 280 1360 1765
554 1093 317 1376
555 1090 1844 3048
556 431 453 1041
557 1995 114 2214
558 2009 158 2027
559 76 1301 1398
560 794 349 1173
561 41 620 775
562 138 1402 1668
563 450 88 578
564 2290 33 2652
565 706 496 1101
566 202 146 1183
567 603 1853 2247
568 1559 977 2719
569 1743 1710 4019
570 1177 1271 2215
571 343 1798 2233
572 1186 1775 3006
573 242 1609 1896
574 1329 1146 2403
575 138 1394 1692
576 1500 700 2528
577 415 240 770
578 1967 348 2417
579 1439 485 2142
580 299 104 376
581 1908 1989 4253
582 2083 671 3246
583 41 13 1285
584 1882 981 2647
585 145 1673 1772
586 1003 1138 2094
587 1402 285 1631
588 112 755 863
589 1672 1869 3701
590 2196 248 2662
591 855 1061 1939
592 1245 1524 2650
593 1472 242 1955
594 390 688 1143
595 653 1495 2433
596 686 8 668
597 585 409 1149
598 2111 45 2482
599 1145 850 2022
600 32 1185 1252
601 1901 1266 3800
602 103 1823 2062
603 67 1641 1692
604 520 1920 2243
605 695 159 798
606 280 78 1101
607 174 189 1411
608 427 125 1325
609 2288 833 2937
610 831 213 1103
611 381 414 872
612 1723 626 2292
613 1072 905 2197
614 1173 140 1322
615 747 1309 2107
616 1243 487 1747
617 1048 888 1963
618 1162 1308 2376
619 2219 1659 3710
620 242 342 551
621 1209 1822 3114
622 1471 102 1830
623 251 42 1181
624 164 1792 1834
625 1653 1837 3343
626 1531 635 2369
627 1464 922 2407
628 1966 1061 2974
629 2225 1782 4751
630 2173 381 2698
631 211 181 1158
632 701 935 1565
633 1701 1786 3366
634 1410 1499 3083
635 789 1442 2299
636 859 1318 2605
637 494 586 1027
638 61 103 1388
639 2255 476 2521
640 1775 1028 2659
641 2109 1463 4001
642 2149 1283 3230
643 425 1852 2545
644 1988 961 3433
645 2048 1729 4223
646 831 1806 2913
647 862 1410 2201
648 774 1423 2348
649 791 1595 2368
650 665 1147 1978
651 2225 1247 3400
652 1365 1919 3480
653 144 100 265
654 96 1578 1679
655 61 1956 2155
656 2128 321 2708
657 715 302 1113
658 357 1100 1448
659 2137 883 3106
660 2076 1894 4564
661 1130 281 1444
662 1216 1841 3431
663 1195 988 2488
664 1244 465 1736
665 1273 1864 2980
666 759 1388 2444
667 380 112 1139
668 1610 673 2290
669 2041 554 2565
670 362 573 906
671 925 769 1982
672 2300 1143 3783
673 1148 1794 3478
674 1579 646 2404
675 822 79 893
676 502 1045 1801
677 1506 1359 2658
678 1915 1526 3652
679 342 1259 1599
680 449 956 1615
681 644 227 940
682 938 975 1923
683 1241 1559 2569
684 1158 1420 3051
685 312 830 1208
686 62 1458 1527
687 1591 115 2006
688 782 1815 2648
689 1062 1763 3384
690 592 865 1553
691 1922 1120 3247
692 422 1213 1722
693 300 1265 1695
694 1232 747 2015
695 939 384 1386
696 2204 176 2482
697 722 1931 2767
698 1872 1811 4106
699 2232 195 2774
700 1019 1920 2697
701 869 1424 2714
702 1092 1545 3106
703 251 346 603
704 2086 575 2587
705 103 417 496
706 410 53 1096
707 1392 839 2313
708 217 182 1407
709 1280 689 2043
710 1787 82 2023
711 1307 906 2262
712 1977 557 2706
